,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
137493,100024269504765,Het Laatste Nieuws uit Gent,HLNGent,https://www.facebook.com/642288609177580,Dankzij Het Laatste Nieuws uit Gent ben je altijd op de hoogte van wat er gebeurt in jouw gemeente.,NEWS_SITE,0,2014-04-04 13:16:40,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/301240742_1053720898780217_4435677458160454089_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=a27e22&_nc_ohc=B5SKFlGcxJEAX9uOwjR&_nc_ht=scontent-sea1-1.xx&oh=00_AfB5bQ3grWisbSOPwAiJtuccIzsZD26V9ORSycTaUbHhOA&oe=65D2EAE9,44609,BE,nl
43110,100025026296681,Sudinfo LaNouvelleGazette Charleroi,ngcharleroi,https://www.facebook.com/188588314538188,"Suivez l'actualité en direct: l'info de votre région, l'actu chaude nationale et internationale, les ",NEWS_SITE,0,2011-08-03 07:31:00,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/249171218_4621704384559870_8293125890121693182_n.png?stp=cp0_dst-png_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=a27e22&_nc_ohc=_27ssMLE69EAX-RDk4r&_nc_ht=scontent-sea1-1.xx&oh=00_AfAPOFuNC9pXnca4WgVUVKfHWJ7u7d-3hZY4t5505n5png&oe=65C8F50C,46064,BE,und
117344,100026666271328,L'Avenir Huy-Waremme,lavenirHW,https://www.facebook.com/201771443176133,Retrouvez toute l'information de l'arrondissement de Huy-Waremme sur www.lavenir.net/regions/edition-huy-waremme/,MEDIA_NEWS_COMPANY,0,2011-03-21 13:21:17,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/277524230_5327444203942139_9210065908592046765_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=a27e22&_nc_ohc=ftCNuj_g8-AAX_ZuZ9g&_nc_ht=scontent-sea1-1.xx&oh=00_AfCbrVzyntrXmIXlZ7pJqLu5zz0MER6je3bpIYOwG0g87Q&oe=65C8C5F8,28809,BE,fr
43109,100027872786840,Sudinfo LaMeuse Verviers,LaMeuseVerviers,https://www.facebook.com/149207805090447,"Suivez l'actualité en direct: l'info de votre région, l'actu chaude nationale et internationale, les ",NEWS_SITE,0,2010-08-07 16:39:06,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/249204806_4784766784867836_2999873533732995234_n.png?stp=cp0_dst-png_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=a27e22&_nc_ohc=78rT7QwbWeUAX8qKI_x&_nc_ht=scontent-sea1-1.xx&oh=00_AfBKwRcXTNEb9DoIJQNhcnexabYUVSoxRkIRxHy1hACo1A&oe=65C8618B,23451,BE,und
145224,100028284026857,Al het nieuws uit Anzegem,AlhetnieuwsuitAnzegem,https://www.facebook.com/156331571100859,Op zoek naar nieuws uit Anzegem? Lees als eerste wat er vandaag gebeurd is in jouw gemeente en regio ,NEWS_SITE,0,2011-05-19 01:41:11,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/280415893_5417495101651120_817609418347099528_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=a27e22&_nc_ohc=BjIZyG_hhgYAX_Jqx1E&_nc_ht=scontent-sea1-1.xx&oh=00_AfAA_VGKwIAwJfUlnqowUw0w8enehRClX7-jJIjb_BEDWA&oe=65D2CDE7,1451,BE,und
43114,100028422446116,Sudinfo LaMeuse Huy-Waremme,LaMeuseHuy,https://www.facebook.com/148605495222094,"Suivez l'actualité en direct: l'info de votre région, l'actu chaude nationale et internationale, les ",NEWS_SITE,0,2011-08-09 12:22:52,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/249194385_4444111272338140_6657570191524970626_n.png?stp=cp0_dst-png_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=a27e22&_nc_ohc=et_-r6Duh_gAX8LuOb2&_nc_ht=scontent-sea1-1.xx&oh=00_AfB6YnQONEzFqLFL5YG38gzoKtBL0xWaGQ7ITnEWtXbi8Q&oe=65C99734,17267,BE,und
948,100028577876903,Sudinfo LaCapitale Brabant wallon,LaCapitaleBrabantWallon,https://www.facebook.com/451601928221997,"Suivez l'actualité en direct: l'info de votre région, l'actu chaude nationale et internationale, les résultats sportifs, le meilleur du People, l’actu buzz, les faits divers et bien d’autres contenus de qualité. Sudinfo.be, Premier sur l'info!",NEWS_SITE,0,2013-01-02 14:01:14,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/249116612_4374068855975265_325363815499201161_n.png?stp=cp0_dst-png_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=a27e22&_nc_ohc=bKooRGM0ep4AX-Wq0kr&_nc_ht=scontent-sea1-1.xx&oh=00_AfBztraecxVpQCv_FKWL7qQ5kbi57P8KbCp0_ptZFAqMMw&oe=65C96D96,1970,BE,fr
136923,100028874814607,Gazet van Mechelen,gazetvanmechelen,https://www.facebook.com/107592269319815,Het nieuws over Mechelen en de regio vind je in een aparte katern van Gazet van Antwerpen. Meer nieuws? https://www.gva.be/regio-mechelen,MEDIA_NEWS_COMPANY,0,2011-03-02 13:32:20,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/313182301_797384004567419_9056571514018675790_n.png?stp=cp0_dst-png_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=a27e22&_nc_ohc=mA1iPhB2iiUAX8uEnsR&_nc_ht=scontent-sea1-1.xx&oh=00_AfDGUGcNiuKTeHCCua1q5_CVL9yTFoDjnbYrvt6DqFe-yQ&oe=65D2724D,10287,BE,nl
137884,100034348316683,Made in Limburg,MadeinLimburg,https://www.facebook.com/150538654980086,Nieuws uit ondernemend Limburg,MEDIA_NEWS_COMPANY,0,2010-09-17 07:51:31,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/321491241_819675915794323_7386169797528314055_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=107&ccb=1-7&_nc_sid=a27e22&_nc_ohc=N3Z2_0PQdp8AX8ybMlV&_nc_ht=scontent-sea1-1.xx&oh=00_AfDwmblzoLYF_yeS6GkGsmfWOfDQUPQJ9VyUOiizkylZ0w&oe=65D34936,27441,BE,nl
145176,100035373112719,Showbizz-Site,showbizzsitefan,https://www.facebook.com/48863877351,News & media website,NEWS_SITE,0,2009-01-13 21:05:33,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/301579155_747356396453457_1373759303746297203_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=nzwE-PY2JwoAX_QdK5L&_nc_ht=scontent-sea1-1.xx&oh=00_AfB7ipIZ3zjtUGKm7ri6DRye8dAIzlpnSXyHpX6X6mKEEw&oe=65D39894,3908,BE,nl
136833,100037344056812,Al het nieuws uit Aalter,AlhetnieuwsuitAalter,https://www.facebook.com/146646368740841,"Op zoek naar nieuws uit Aalter? Lees als eerste wat er vandaag gebeurd is in jouw gemeente en regio bij Het Nieuwsblad. www.nieuwsblad.be/aalter
",NEWS_SITE,0,2011-05-18 23:42:23,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/330306697_509429451272054_1952622887818039744_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=E1TuStk3kCAAX-YJYsp&_nc_ht=scontent-sea1-1.xx&oh=00_AfAlDpDE8xGkxABcLcaL4jeGHqt3qHI9Wm9KKLXcqkB7XQ&oe=65D2AD8F,4156,BE,und
141384,100037609728664,Het Laatste Nieuws uit Ninove,HLNNinove,https://www.facebook.com/1385914128355637,"Dankzij Het Laatste Nieuws uit Ninove ben je altijd op de hoogte van wat er gebeurt in jouw gemeente en wat er leeft in jouw omgeving.
www.hln.be/ninove",MEDIA_NEWS_COMPANY,0,2014-04-07 11:16:17,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/298681264_759492905314360_4204753948104371130_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=hYAe2I3NIQgAX8tQxkE&_nc_ht=scontent-sea1-1.xx&oh=00_AfBpE-e-rCabTPTbXF0N2zP0D32X0wSVb4t5cSYsFxXOnw&oe=65D319A5,8396,BE,nl
49743,100038067292361,L'Avenir Luxembourg,lavenirluxembourg,https://www.facebook.com/275547282532230,Toute l'actualité en province de Luxembourg,MEDIA_NEWS_COMPANY,0,2012-04-11 12:15:56,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/277440213_5119122044841372_3589025020407306750_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=a27e22&_nc_ohc=N2gBbuRmej4AX9APvCr&_nc_ht=scontent-sea1-1.xx&oh=00_AfCoU5RSyAWt22Q6UyvvkrFtJm2qXkBVfokcwMAEM_9kCQ&oe=65C9A26E,55777,BE,fr
43107,100038548824670,Sudinfo NordEclair Tournai,NordEclairTournai,https://www.facebook.com/205514172814753,"Suivez l'actualité en direct: l'info de votre région, l'actu chaude nationale et internationale, les ",NEWS_SITE,0,2011-04-21 13:54:12,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/248962224_5055474021152053_6718315904625049422_n.png?stp=cp0_dst-png_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=a27e22&_nc_ohc=GLzxvuCMnMMAX8n3HCz&_nc_ht=scontent-sea1-1.xx&oh=00_AfBd7W2zFn6ySolL6my8j7-JnHLpLTQTKquzsZVqkZ6Gjg&oe=65C86E10,17591,BE,und
140490,100039202342401,De Showbizz-Site,deshowbizzsite,https://www.facebook.com/235112053248249,"Dé enige echte Showbizz-Site die al in 1998 werd opgericht.
https://www.showbizzsite.be
",MEDIA_NEWS_COMPANY,0,2012-02-19 18:10:21,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/271622536_583145649668841_7306482282556376487_n.png?stp=c8.0.50.50a_cp0_dst-png_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=o489F3LE0RAAX-c8M7Z&_nc_ht=scontent-sea1-1.xx&oh=00_AfDQt9gszkfTXsq-UVbSjbrit3__9lA8DDoWesyTAcG0yg&oe=65D2E83D,42010,BE,nl
687,100039385398679,Sudinfo LaCapitale,lacapitale,https://www.facebook.com/118030481568607,"Suivez l'actualité en direct: l'info de votre région, l'actu chaude nationale et internationale, les ",NEWS_SITE,0,2010-05-18 08:55:18,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/249186193_4600490379989239_5395708986169436403_n.png?stp=cp0_dst-png_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=8JKUA4jt6lEAX-3W_WM&_nc_ht=scontent-sea1-1.xx&oh=00_AfBD7nTnbwOTC42-QrG1BNAkr8NIZVK53ZjubDhzBMCplA&oe=65C9C4C5,18072,BE,fr
43108,100040276072847,Sudinfo LaMeuse Namur,LaMeuseNamur,https://www.facebook.com/109782425772780,"Suivez l'actualité en direct: l'info de votre région, l'actu chaude nationale et internationale, les ",NEWS_SITE,0,2011-04-21 16:12:44,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/249378222_4404131483004498_8300843470740258834_n.png?stp=cp0_dst-png_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=a27e22&_nc_ohc=79TQMPPXfBIAX8CfO4l&_nc_oc=AQkjXQnp-_ii-nX-6JAqN9Vfl0bvkPgcMaWdy6RWITaNVCwU_A4WzSjdWoYvuxI1Pzo&_nc_ht=scontent-sea1-1.xx&oh=00_AfD8w-eLtrEDUcDlqZPbM_pe3iXldJ9W0BBrvksXWdBgJw&oe=65C92111,6794,BE,und
102791,100040319115740,VLAN,JournalVLAN,https://www.facebook.com/335931493159740,"VLAN, votre journal local.
Actualité locale, photos, concours, invitations,...VLAN vous réserve des moments haut en couleurs !",MEDIA_NEWS_COMPANY,0,2012-07-24 08:16:05,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/312439588_799329961420967_2113118248237183636_n.png?stp=cp0_dst-png_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=CUi-QujZNY0AX_fOhba&_nc_ht=scontent-sea1-1.xx&oh=00_AfA6_jrD66MXrtC37EFKK76h44AkNmbuSub266o4b7mqSg&oe=65C9E4C0,61180,BE,fr
50904,100041235174119,Sudinfo Sports LaMeuse Liège Basse-Meuse,LaMeuseSports,https://www.facebook.com/233200650499953,Toute l'actu sportive de la région sur https://www.lameuse.be/27/sections/sport-regional,MEDIA_NEWS_COMPANY,0,2017-06-02 10:32:21,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/249201215_1210992592720749_3910165617405064473_n.png?stp=cp0_dst-png_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=2LB1NuYeYmYAX_u4XcW&_nc_ht=scontent-sea1-1.xx&oh=00_AfAmGK0zLHDUUR734EIEtJ2HnVNorf4oA_Z9N-C8IZmDag&oe=65C88A48,10601,BE,fr
