,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
12353,100025250054737,thessnews.gr,thessnews.gr,https://www.facebook.com/194717217210755,"www.thessnews.gr
",NEWS_SITE,0,2011-01-19 22:55:45,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/271713247_5576153805733709_8522895224690017515_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=-IDbE6BhaxMAX93Xdpn&_nc_ht=scontent-sea1-1.xx&oh=00_AfBHEgk2FuZ9DayOgsiulKBoR1JnFwTS5raQqL_7P4U8Wg&oe=65EE3BBF,39984,GR,el
2,100028472694547,the faq,thefaq.gr,https://www.facebook.com/1659329190987876,"news, media, fun stuff",MEDIA_NEWS_COMPANY,0,2016-01-15 18:03:28,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/301498780_773233080302441_1253294932891004010_n.jpg?stp=c0.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ga4WeOz2dD0AX8AAtVt&_nc_ht=scontent-sea1-1.xx&oh=00_AfDu0IXuETCy1yeOOQJS-NofgMT6_vZgEnCd7ATpnmGVQA&oe=65ED4B94,15605,GR,el
5622,100032299942378,kokkina.gr,kokkinagr,https://www.facebook.com/100032299942378,"Γράφουμε για τον Ολυμπιακό και όχι μόνο.... Αυτόνομοι, αντικειμενικοί, ανεξάρτητοι, αμερόληπτοι!",MEDIA_NEWS_COMPANY,0,2015-05-30 08:39:23,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/298836650_726878448398813_6736125770186708419_n.png?stp=c1.0.50.50a_cp0_dst-png_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=4QU4fgTXNwcAX9O4j1K&_nc_ht=scontent-sea1-1.xx&oh=00_AfAUZtzYnVohjfOViovbWc_-A13Gxuy1PvuFlTj1PDeVmA&oe=65EDB286,27333,GR,el
12422,100034228434873,ΤΑΧΥΔΡΟΜΟΣ,taxydromos,https://www.facebook.com/120801297956778,https://www.taxydromos.gr/,TOPIC_NEWSPAPER,0,2010-05-28 15:51:14,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/293432055_715940359556905_1495246339674623161_n.jpg?stp=c7.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=dyjgCoMMfd0AX-twaPY&_nc_ht=scontent-sea1-1.xx&oh=00_AfBXyqmB0tKcWp9eNAJrmGOKwdpR66vZ4PN2-n55ETWkLQ&oe=65EE23A4,33028,GR,und
11131,100037550724212,News.gr,amesi.enimerosi,https://www.facebook.com/258503587595667,Άμεση ενημέρωση στο www.news.gr,MEDIA_NEWS_COMPANY,0,2012-07-16 10:15:09,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/294205122_710102873584730_9113610384705985062_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=wnrfEb2SrYMAX_FiIPD&_nc_ht=scontent-sea1-1.xx&oh=00_AfAa_kOMv1z72l-dHST6DxXVyLBJhDvRmygBYcveaxnWuA&oe=65EF164E,44676,GR,el
11928,100041940206143,Football League News,FootballLeagueNews,https://www.facebook.com/163770973703163,"Ειδήσεις, συνεντεύξεις, θέματα...
21+ | ΚΙΝΔΥΝΟΣ ΕΘΙΣΜΟΥ & ΑΠΩΛΕΙΑΣ ΠΕΡΙΟΥΣΙΑΣ | ΠΑΙΞΕ ΥΠΕΥΘΥΝΑ",NEWS_SITE,0,2011-08-31 16:10:40,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/357426768_979639463444051_6035225408701912514_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=MAVhwaEgryoAX-cZvVz&_nc_ht=scontent-sea1-1.xx&oh=00_AfC8atb90to5zjF976WcZlkFADVHFgRzSnKZo-Dpa7hVQQ&oe=65EEF4D8,33626,GR,und
11394,100043006604450,LamiaReport.gr,Lamiareport.gr,https://www.facebook.com/120830027937234,News & media website,NEWS_SITE,0,2010-05-12 18:11:29,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/306855028_781494626627417_4339194846530593098_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=fCQwPVlsKjIAX_rvfTT&_nc_ht=scontent-sea1-1.xx&oh=00_AfB5u6SsbSPcyuKsK1lMeNhuBWWvUYNKH-xKINIMHDmcxA&oe=65EDD65D,73116,GR,und
53,100043116380087,newshub.gr,newshub.gr,https://www.facebook.com/100043116380087,"Πάντα στο κέντρο των γεγονότων, με τη σφραγίδα του  κορυφαίου ειδησεογραφικού site στη Κρήτη!",NEWS_SITE,0,2020-05-22 10:23:38,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/294550419_711386063641933_6415938500680910059_n.png?stp=cp0_dst-png_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=5lRIjjvOxEgAX94fhHv&_nc_ht=scontent-sea1-1.xx&oh=00_AfDtuk3hFrAHTkQXrsILLaLPThh8B-Bf9QjN6JuXXg_zig&oe=65EDB01E,39178,GR,el
12011,100043320324701,enwsi.gr,enwsi,https://www.facebook.com/474615882581537,"Αθεράπευτα Έγκυρα Κιτρινόμαυρα 

H καλύτερη δημοσιογρα",MEDIA_NEWS_COMPANY,0,2012-12-17 08:57:03,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/308020284_742947763825894_2619198570081113960_n.png?stp=cp0_dst-png_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yuxjmYRFn4MAX-_WKKj&_nc_ht=scontent-sea1-1.xx&oh=00_AfC1UZlOHgd5fSWfPAGgxvNeaZCQ-F29GKiHEqisOVWmKw&oe=65EE1F37,59149,GR,el
12379,100045433493668,Fonografos www.fonografos.net,fonografos.net,https://www.facebook.com/198442040236182,www.fonografos.net,NEWS_SITE,0,2011-11-22 11:28:10,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/305398348_591803702344074_5437010698458188735_n.jpg?stp=c2.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6g3LZiU6TIgAX_PR-Op&_nc_ht=scontent-sea1-1.xx&oh=00_AfAzaBCb9QqYjcceO8nKG0kia23ydbeoe6EHaQcqizQsDg&oe=65EE576A,22108,GR,el
11395,100048752415724,GreenAspect.gr,greenaspect.gr,https://www.facebook.com/160612744058016,Μια σελίδα φτιαγμένη απο Παναθηναικούς για Παναθηναικούς. Με ένα like θα έχεις όλα τα νέα της αγαπημένης σου ομάδας στο wall σου!,NEWS_SITE,0,2012-02-25 13:44:27,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/368269518_905284537773285_3407398563224944787_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Uisel6hVGwQAX8ymrfx&_nc_ht=scontent-sea1-1.xx&oh=00_AfDHkaeNFD7lSqs3nFcN1HpJE1N0gb1RcbO-B7Dhsl1f9A&oe=65EEC2E1,27963,GR,el
17,100048795622322,PAOKDAY.GR,,https://www.facebook.com/2117626398555306,Όλη η ημέρα του ΠΑΟΚ με ένα κλικ στην οθόνη σου,NEWS_SITE,0,2018-09-23 00:46:06,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/303515575_609062437396938_8873241154421137263_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jbGlOT5xDBwAX9PWNpV&_nc_ht=scontent-sea1-1.xx&oh=00_AfBAB_NgxojcAmFoCNQqpARVvIvV86GSD3J6ulgQoWvsJA&oe=65ED5840,24222,GR,und
11827,100049585547088,INPAO / www.inpao.gr,inpaogr,https://www.facebook.com/349089255191023,☘ Κάνε All…in στα νέα του Παναθηναϊκού μέσω του http://INPAO.GR.,NEWS_SITE,0,2013-02-26 13:16:37,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/274037686_4388481414585100_719751452058010793_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=4leesodM2o0AX9acnUp&_nc_ht=scontent-sea1-1.xx&oh=00_AfBhL-uQw8v9S00UN3anTXOLZaRtoIvz6WZNqK7W2bqM2g&oe=65EF3F6C,35209,GR,el
12464,100051622494133,ΘΑΡΡΟΣ News,TharrosNews,https://www.facebook.com/441331182584942,ΘΑΡΡΟΣ | Καθημερινή εφημερίδα της Μεσσηνίας από το 1899 ,TOPIC_NEWSPAPER,0,2012-09-23 15:51:38,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/302018656_583010290096382_1367511262095149589_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tfiSflIZkOUAX9bT4-w&_nc_ht=scontent-sea1-1.xx&oh=00_AfArPcecevOuWHu9faWltftFfqHTSoSt0XVCdRcUhbkIMA&oe=65EE4F2F,46076,GR,und
