,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
8780,100020495182747,GelreNieuws,GelreNieuwsnl,https://www.facebook.com/229628240381655,GelreNieuws brengt dagelijks het laatste nieuws uit Gelderland.,MEDIA_NEWS_COMPANY,0,2011-06-19 20:49:51,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/339271465_112769218446597_8962465791575710240_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=105&ccb=1-7&_nc_sid=a27e22&_nc_ohc=iMppYK6S4VcAX_JxLT5&_nc_ht=scontent-sea1-1.xx&oh=00_AfB49vKwR8x-GKEYUoqnKQa8qIIhn3Ozc8a3VjfbrkcT9Q&oe=65E10BDC,115074,NL,nl
711,100020513724873,Midvliet,Midvliet,https://www.facebook.com/117530258457048,Midvliet is dé omroep voor Leidschendam-Voorburg. Volg ons via www.midvliet.nl of download de app.,BROADCASTING_MEDIA_PRODUCTION,0,2013-06-12 08:21:43,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/264942640_879547056072410_7301425141992007542_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=a27e22&_nc_ohc=ETjW9DTPB8wAX9u4Jtl&_nc_ht=scontent-sea1-1.xx&oh=00_AfAUAZBpW2HRIt7PtNjKpSO5lp6HHiCN89bLA7DJGqRSvg&oe=65DFBCF5,7277,NL,nl
4618,100023570332663,Harderwijker Courant,harderwijkercourant,https://www.facebook.com/384283048254982,De Harderwijker Courant is de weekkrant van Harderwijk en Hierden. Praat hier mee over de onderwerpen,MEDIA_NEWS_COMPANY,0,2012-02-14 15:49:54,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/260307048_859402198188783_3584537907673725067_n.jpg?stp=c7.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=107&ccb=1-7&_nc_sid=a27e22&_nc_ohc=MVCXeEKcY-IAX-t9VAs&_nc_ht=scontent-sea1-1.xx&oh=00_AfA2K0zXXyUo8kst_UDZMeCkOwcSFBZ1Stpb6McqD7IUJg&oe=65DFD53A,4299,NL,nl
1330,100026704674463,Autoblog.nl,autoblog.nl,https://www.facebook.com/115079358506996,Autoblog.nl is de grootste Nederlandse nieuwssite over auto’s.,MEDIA_NEWS_COMPANY,0,2010-04-02 13:05:12,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/254972634_5099390456742503_535949161067347800_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=a27e22&_nc_ohc=l_oFYGFGMx8AX90dhJm&_nc_ht=scontent-sea1-1.xx&oh=00_AfC8QFpBk5akXIsnXtkvvuWLMnUcgl3cdr7MIXFPPnSdCA&oe=65E0D233,86907,NL,nl
63,100026908523115,Buitenhof,BuitenhofTelevisie,https://www.facebook.com/1498781793769425,"Buitenhof is het wekelijkse discussieprogramma van AVROTROS, BNNVARA en VPRO met interviews, opinies ",NEWS_SITE,0,2015-09-26 12:08:28,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/369650290_1309923906581214_5758057532362257449_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=xge1ZvC9eh4AX9iTPkZ&_nc_ht=scontent-sea1-1.xx&oh=00_AfB68Fr_9fTAHmTDsFPZIwWXjZrCpmYoi3vP5nw1z3RdZg&oe=65DF7191,19992,NL,nl
16729,100027999445143,EHS COMMUNICATIONS - Weert,EHSCommunications,https://www.facebook.com/116132201739520,"EHS Communications. Ziet, waar jij gezien wordt. 
",SOCIAL_MEDIA_AGENCY,0,2010-04-20 08:21:28,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/412363305_1264172927859343_8472567732873970728_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=a27e22&_nc_ohc=GGJ5h-SiTRgAX-VVVDa&_nc_ht=scontent-sea1-1.xx&oh=00_AfD7ofCyY7lS9PxFIAwcRjg650q7ZkLopSyRdjyaqJ-26A&oe=65E173BB,2434,NL,en
8087,100028139966574,De Gelderlander Achterhoek,DGAchterhoek,https://www.facebook.com/231438973618507,"Dit is de Facebook-pagina van De Gelderlander, met nieuws uit de  Achterhoek. Zie ook www.dg.nl/achte",MEDIA_NEWS_COMPANY,0,2012-03-04 12:12:50,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/354246140_1136664900614831_3711103876348257328_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=a27e22&_nc_ohc=YtL3ctRaA5sAX_VDBf5&_nc_ht=scontent-sea1-1.xx&oh=00_AfAmb5GWK_dap9sFSkoyo-zfjctI-M09MBMySTq8zHBV2w&oe=65E0A07C,18697,NL,nl
18045,100028139966767,1Zwolle,1zwolle,https://www.facebook.com/126882727369320,"1Zwolle is onderdeel van RTV1IJsseldelta, de nieuw te vormen streekomroep in de IJsseldelta.",NEWS_SITE,0,2010-11-06 16:44:53,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/376799871_1187157288898925_7792531743073427057_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=110&ccb=1-7&_nc_sid=a27e22&_nc_ohc=DZxGd6UOmO4AX9vsXEF&_nc_ht=scontent-sea1-1.xx&oh=00_AfBKYSDjecetgxdN7zn4KM1l419pk935dtw8BAqYu9UFhA&oe=65E11617,11055,NL,nl
254,100028410236911,112 Maasmedia,112Maasmedia,https://www.facebook.com/1478562072426896,"Het laatste 112-nieuws uit Maassluis, Maasland, Maasdijk en omgeving!",NEWS_SITE,0,2014-09-23 15:56:31,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/327783892_734973594692058_1189493667293188263_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=a27e22&_nc_ohc=Hl8ovwxaGPoAX89-wRg&_nc_ht=scontent-sea1-1.xx&oh=00_AfAqq3SMo8JRk5bFdLVnwDlZIVSVQ2c9h1HlZy433k1naw&oe=65E0B1F0,13031,NL,nl
4729,100028486556175,RadioWereld.NL,Medianieuws,https://www.facebook.com/181116768693572,| RadioWereld.NL| Radioportal van Nederland,NEWS_SITE,0,2012-12-05 19:14:19,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/236046893_2017791585026072_3198342807055970599_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=a27e22&_nc_ohc=-47Ix44cUTIAX_6ffiP&_nc_ht=scontent-sea1-1.xx&oh=00_AfDIQDUmu4dYyvBmWNop3cefA4cMttw1AE1KUwInfCylwQ&oe=65E03D07,6370,NL,nl
1527,100028578506745,Groot-Waterland,mooi.waterland,https://www.facebook.com/619272851447864,"Nieuws sinds 2001 uit Edam-Volendam, landsmeer en Waterland.",NEWS_SITE,0,2013-10-18 21:26:51,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/306971605_777341566561786_2733724466135810670_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=wU8-lA02j64AX9LF33b&_nc_ht=scontent-sea1-1.xx&oh=00_AfB6b3sXMP-gHaYlhALBv3PUfuS9qjFSSxU6JU13G4GNiA&oe=65E073D5,10022,NL,nl
69,100028871576049,Ridderkerks Dagblad,ridderkerksdagblad,https://www.facebook.com/1535603426768053,"Ridderkerks Dagblad is er voor, door en met Ridderkerkers. Wij ontwikkelen een actueel online mediapl",MEDIA_NEWS_COMPANY,0,2016-01-19 08:53:17,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/361087558_1021406452165064_2194227256484027846_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=a27e22&_nc_ohc=vjwtHnPd358AX88coO2&_nc_ht=scontent-sea1-1.xx&oh=00_AfAkrN0xiWdahVjQk_54yHLfZxmkzUoXV4KAOFI98H-xzg&oe=65E0D305,8057,NL,nl
691,100031217457154,BD Amateurvoetbal,bdamateurvoetbal,https://www.facebook.com/613629895407194,BD over amateurvoetbal,MEDIA_NEWS_COMPANY,0,2015-08-18 08:52:39,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/356698765_984966379220601_6589840351929111727_n.png?stp=cp0_dst-png_p50x50&_nc_cat=110&ccb=1-7&_nc_sid=a27e22&_nc_ohc=R52NUE-rUhQAX946oXd&_nc_ht=scontent-sea1-1.xx&oh=00_AfAsWWgoQin0tDZDwH401N5IDdp4FlIy7A1dgNNqT07-Kg&oe=65E05C75,3722,NL,nl
9633,100035046923404,Rodi.nl Den Haag,RodiDenHaag,https://www.facebook.com/396590563684549,"Dé stadskrant van Den Haag, die huis-aan-huis verspreid wordt!",MEDIA_NEWS_COMPANY,0,2012-03-27 14:15:42,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/395232600_1062751284903092_1624431747837812769_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=MUpcIEzt0psAX__6BV-&_nc_ht=scontent-sea1-1.xx&oh=00_AfApPKWgMAERHxxi5b-SNLDoC1vvqHNtHfQ0SPCvyJrX8w&oe=65E0F300,4482,NL,und
344,100035121164854,AD Hoeksche Waard,ADHoekschewaard,https://www.facebook.com/1633002360273415,"Dit is de officiële Facebookpagina van AD Hoeksche Waard. Tips? Mail: rd.hoekschewaard@ad.nl. 
",MEDIA_NEWS_COMPANY,0,2015-07-15 11:35:09,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/357052743_1017890849391611_3239127012899141133_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=110&ccb=1-7&_nc_sid=a27e22&_nc_ohc=sIap2a4CLOoAX9idr4U&_nc_ht=scontent-sea1-1.xx&oh=00_AfAOHEpF2mK6Uj1S_r6BPYG6zhT8O83jqb0V5La4Ze40pw&oe=65DF2FB2,19699,NL,nl
18017,100035400236452,112hoogezand.nl,112hoogezand,https://www.facebook.com/570001563015823,"Dit is de officiële facebook pagina van 112hoogezand.nl, hier zullen alle berichten verschijnen die op de website staan.
Door een klik op het bericht zul je automatisch naar het volledige nieuwsbericht op 112hoogezand.nl gaan.",NEWS_SITE,0,2012-12-26 01:02:35,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/308794021_768493257674008_874709154549852243_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=cuycsB4wZ4cAX-IA-IG&_nc_ht=scontent-sea1-1.xx&oh=00_AfAhvv5WYw7gwwgaN-kyTGuTAPin7D_drwJZQD_vya3m6g&oe=65E0DF5D,8564,NL,und
6117,100036933774966,Omroep Land van Cuijk,omroeplvc,https://www.facebook.com/525989757576087,Omroep Land van Cuijk is dé publieke streekomroep voor de gemeente Land van Cuijk,BROADCASTING_MEDIA_PRODUCTION,0,2015-09-24 21:49:19,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/282145749_674204443820675_3171703389088080063_n.jpg?stp=c12.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=a27e22&_nc_ohc=GRxbvgFvmCEAX8W2L7b&_nc_ht=scontent-sea1-1.xx&oh=00_AfCoQ22LyGsN9-SndTnUHvqYnqEM1GFYg3gXrXwvZqrATA&oe=65E11FE7,5556,NL,nl
1325,100037188228370,Amayzine,Amayzine,https://www.facebook.com/126622154212295,Amayzine.com is een gecureerd lifestyleplatform waarop geschreven wordt over alles wat het leven leuk,MEDIA_NEWS_COMPANY,1,2013-06-11 16:06:51,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/376847304_1060677568515174_3829068951010635346_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=105&ccb=1-7&_nc_sid=a27e22&_nc_ohc=GcHHlfHFoQoAX8rUdZ7&_nc_ht=scontent-sea1-1.xx&oh=00_AfDNXzeZkVIXBYdeHF8qyF3YGb7jOZA5bM9cL6qqIeg8nQ&oe=65E04AB9,81585,NL,nl
9716,100037424543642,Rtv Meppel,rtvmeppel,https://www.facebook.com/411145952273994,"Radio - TV - On Line

 Postbus 510 - 7940 AM,

PERSBERICHTEN GRAAG MAXIMAAL 2200 tekens
",BROADCASTING_MEDIA_PRODUCTION,0,2012-10-16 22:29:51,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/251579249_4422923591096190_379451683927081043_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=a27e22&_nc_ohc=AiKc1TeiM_oAX89DHYC&_nc_ht=scontent-sea1-1.xx&oh=00_AfAdjDBjJlh_iJv7WJ15XlDywmOW6L5Elp1kSlrx1P2m3w&oe=65E14131,7630,NL,nl
795,100038300213682,Tubantia Hengelo,tubantia.hengelo,https://www.facebook.com/297659273613923,"Dit is de Facebookpagina van Tubantia Hengelo, Borne en Hof van Twente. Volg hier het laatste nieuws.",MEDIA_NEWS_COMPANY,0,2012-01-10 17:48:00,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/263192706_566738441279491_3486355563869918844_n.png?stp=cp0_dst-png_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=a27e22&_nc_ohc=7ecbohtlA2wAX-1mjdC&_nc_ht=scontent-sea1-1.xx&oh=00_AfAdittFoftg-rOaBu2Sdi5NEkXcXzcrnQkyMRqhR8TTfw&oe=65DF5752,4861,NL,nl
128,100038428164860,Rijswijks Dagblad,rijswijksdagblad,https://www.facebook.com/140294796328066,Onafhankelijk nieuws uit de gemeente Rijswijk,MEDIA_NEWS_COMPANY,0,2015-11-10 09:44:07,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/304797240_755849239039341_7247235952029685596_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=107&ccb=1-7&_nc_sid=a27e22&_nc_ohc=cbOa0amSXPIAX8hC9St&_nc_ht=scontent-sea1-1.xx&oh=00_AfAaCoCQCWPN8Gs__0Ak7SCsSGxPRlnY4FLoNPVPxZQyrg&oe=65E10BA7,8800,NL,nl
149,100038918274614,BredaVandaag,bredavandaag,https://www.facebook.com/136018113088621,Volg BredaVandaag voor het laatste nieuws uit Breda. BredaVandaag is dé grootste nieuwssite van Breda,NEWS_SITE,0,2010-07-08 14:25:19,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/241978906_501069564533648_9215036646043122380_n.png?stp=cp0_dst-png_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=Se24-Ly4nvsAX-Bu9em&_nc_ht=scontent-sea1-1.xx&oh=00_AfBHJwCak0kUPoOltkJ-bUqIyf_rqH2GZJ4iJ3xOpjUThw&oe=65E070E2,33329,NL,nl
510,100038994231819,J/M voor Ouders,jmvoorouders,https://www.facebook.com/397505063351,J/M Ouders is dé website voor ouders van kinderen tussen 4 en 18 jaar. ,NEWS_SITE,0,2010-03-16 14:49:47,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/299990080_10160720729868352_6822276445875967402_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=a27e22&_nc_ohc=JGjMAC7cvgIAX8ZOl3U&_nc_ht=scontent-sea1-1.xx&oh=00_AfDfmqsUxHfB_IGuYynavLFRsN_hn7XkCeRbD2kjZJaBLg&oe=65E0A42D,44344,NL,nl
