,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
301,100028139757329,Bygdebladet Randaberg og Rennesøy,bygdebladet,https://www.facebook.com/272319076168508,"Lokalavisen for Randaberg, Rennesøy og Kvitsøy
Tips oss om saker vi bør skrive om
tips@bygdebladet.no",TOPIC_NEWSPAPER,0,2012-01-26 12:10:45,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/347412860_1143699493244698_7287595782300709412_n.png?stp=cp0_dst-png_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=a27e22&_nc_ohc=caDFT4W4AfQAX817VUd&_nc_ht=scontent-sea1-1.xx&oh=00_AfCPw02D-SnyF6DN3JAzRGigw9LuqlELbO5yV-2akzQa1A&oe=65E93A91,7708,NO,no
23441,100028283696828,Dagen,Dagen.no,https://www.facebook.com/175438386701,"Dagen er Norges eldste kristne dagsavis, med abonnenter over hele landet. ",MEDIA_NEWS_COMPANY,1,2009-11-16 06:57:37,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/309036779_969855880633859_2181247986815873956_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=qIsrcZ_vNaoAX85Txp0&_nc_ht=scontent-sea1-1.xx&oh=00_AfClNQd-82gDQwnu5lCqTHGXnwJOm7Y-rrzrJQ6AfeLk3A&oe=65E9EEEE,30202,NO,no
222,100028847906142,Helgelendingen,avisahelgelendingen,https://www.facebook.com/145172568850549,Velkommen til vår Facebook-side. Her vil vi dele nyheter og historier med deg. Telefon: 75 11 36 00. SMS/MMS: HATIPS til 2005. E-post: til redaksjonen: tips@helg.no Gjelder det annonse? annonse@helg.no For abonnement: abonnement@helg.no ,MEDIA_NEWS_COMPANY,1,2010-08-24 07:45:38,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/326256398_857062542265662_5992948134930575023_n.png?stp=c1.0.50.50a_cp0_dst-png_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=ceQPpDe5vukAX9ipH91&_nc_ht=scontent-sea1-1.xx&oh=00_AfAZLUkdSb0RO5ptT0jmtMtmamMBjEmcAujjwqFJgH1dtQ&oe=65E9C227,17992,NO,no
6783,100028971777306,Romerikes Blad,Romerikesblad,https://www.facebook.com/280435112825,"🤝 Det viktigste i verden skjer der du bor!
Tips oss: tips@rb.no
Tipstelefon: Tlf: 63 80 00 00",TOPIC_NEWSPAPER,1,2010-02-03 10:58:38,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/326202583_695900775410541_987274093624083971_n.png?stp=cp0_dst-png_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=a27e22&_nc_ohc=__WsX4gemogAX_0JtpS&_nc_ht=scontent-sea1-1.xx&oh=00_AfC8_pcSp1_hZNJFiuu49N1pCN6tCJZrOA2qQJogX760LQ&oe=65E96A29,50459,NO,no
17559,100029105213449,ABC Nyheter Reise,ABCNyheterReise,https://www.facebook.com/280334035335040,"Tips, råd, reportasjer og nyheter til deg som elsker å reise, drømmer om å reise, planlegger reise. Eller bare ønsker friluftsliv og jakt og fiske. Fra hele verden - til deg!",NEWS_SITE,0,2011-11-28 17:26:42,https://scontent-sea1-1.xx.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?stp=cp0_dst-png_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=f97dfd&_nc_ohc=BGM03v5QUNkAX-JDRYw&_nc_ht=scontent-sea1-1.xx&oh=00_AfDTs09uu3h1C52PlyYnLtsH6aG9_mypbPV3fyc6TKxTVw&oe=660C54B8,7442,NO,no
5458,100033500185759,Porten.no,porten.no,https://www.facebook.com/161947047237775,Porten er ei heildigital lokalavis for Indre Sogn.,MEDIA_NEWS_COMPANY,0,2011-11-21 10:26:09,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/411190719_1095820121544650_7473079788933544904_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=a27e22&_nc_ohc=K7hVNXuzzkQAX8kRgHM&_nc_ht=scontent-sea1-1.xx&oh=00_AfAcJoUhOakOzOrctbdRGO4GEznruqdyx5Yd9zHo1cs2-w&oe=65E8CF97,10347,NO,no
6511,100033841465557,Saltenposten AS,saltenposten,https://www.facebook.com/128302147248884,"Lokalavis for hele Indre Salten. 

Saltenposten er også å finne på Instagram og Snapchat :) ",MEDIA_NEWS_COMPANY,0,2011-05-31 11:14:21,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/305214231_761019418369433_2199612499549884210_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=a27e22&_nc_ohc=2ApiK3VSXa4AX__ox1K&_nc_ht=scontent-sea1-1.xx&oh=00_AfBUDKA5SqDUYyNKg6d0rwCgYCQcIwzX3mDG1y6X3C7x3w&oe=65EAA0FF,7317,NO,no
5520,100034850330251,Avisa Valdres,avisaValdres,https://www.facebook.com/279528295412305,"Lokalavis for alle Valdres-kommunene, innbyggere, utflyttede, turister og hytteeiere. ",MEDIA_NEWS_COMPANY,1,2011-10-26 09:45:09,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/326260541_550231943805152_5381359007209485536_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=sBG3rw_J14UAX-FuZth&_nc_ht=scontent-sea1-1.xx&oh=00_AfBkY4dy1nEqREY2T-j9GIkMgE4hAJiXS0h8IB2Xndedsg&oe=65E9B719,12430,NO,no
8118,100035121164864,Amta på Nesodden,amta.no,https://www.facebook.com/265272520568052,"Akershus Amtstidende er lokalavisen for Nesodden og Frogn. Her deler vi nyheter og debattinnlegg som gjelder Nesodden. For å lese alle saker, se amta.no.",MEDIA_NEWS_COMPANY,0,2017-02-20 07:28:11,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/351386908_799074218441766_8524683444336146189_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=40LnzMEn3R4AX-0yW_g&_nc_ht=scontent-sea1-1.xx&oh=00_AfCr2x4YOHuo7OM1gVRyuJr62jHkqPP76Qe-UVG09nzOkg&oe=65EA0CD6,3544,NO,no
18262,100038120985314,Fjell-Ljom,ljomen,https://www.facebook.com/145577648868846,"Fjell-Ljom er lokalavisa for Røros og Holtålen, uunnværlig for alle som bor her",TOPIC_NEWSPAPER,0,2011-09-09 12:14:34,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/302434662_774204363860256_2787510914782567356_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=E7jBnjnpYjIAX8spEph&_nc_ht=scontent-sea1-1.xx&oh=00_AfAclGoPrYW5qZPXMzxckVeuZtFJ3EY2wQ8FcBuRBVVMlQ&oe=65E99AA8,5542,NO,no
