,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
122251,100026562644991,Notícias do Sorraia,noticiasdosorraia,https://www.facebook.com/1901360773418198,"Notícias do Sorraia
Um rio de informação!",NEWS_SITE,0,2016-12-26 19:21:24,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/321526614_850175366245237_7242982169778854161_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=YUl4CPnlNwwAX8FBLQf&_nc_ht=scontent-sea1-1.xx&oh=00_AfDrSEZUu6bUYJIRdekQ1HXUmJv-rniPkQNNFycKy35Y1A&oe=65EC97B8,23250,PT,pt
145683,100027677783872,LusoNotícias,LusoNoticias,https://www.facebook.com/557403947604546,"Porque há coisas que realmente importam, há notícias que não lhe podem passar ao lado...",NEWS_SITE,0,2013-01-22 12:05:50,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/302013102_939867973612453_8944691265018607817_n.png?stp=cp0_dst-png_p50x50&_nc_cat=105&ccb=1-7&_nc_sid=a27e22&_nc_ohc=p5-PqRd6OZoAX9guntw&_nc_ht=scontent-sea1-1.xx&oh=00_AfBAxWeRFNl_Xyc52lJFw_UxBdEZ5BhGOhLtdv0RPY0e8A&oe=65EB216A,3737,PT,und
9202,100028107414845,Notícias de Cascais,,https://www.facebook.com/237516019706199,Jornal Regional Mensal do Concelho de Cascais,MEDIA_NEWS_COMPANY,0,2014-03-14 11:07:02,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/408819494_1270859510527617_1231053916975358374_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=a27e22&_nc_ohc=wLnw7M2RceoAX_ezVqA&_nc_ht=scontent-sea1-1.xx&oh=00_AfCyr6GxgUHRo0WnVPt3tuVz1EUgxmhelp4BPKTmRENcWg&oe=65EB30BF,4263,PT,pt
145267,100028283516299,Vidas/CM,vidascorreiodamanha,https://www.facebook.com/158569884208648,"O glamour e a vida dos famosos ao minuto no Vidas, do Correio da Manhã.",TOPIC_NEWSPAPER,1,2011-05-31 17:03:15,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/352814513_1894297237595584_7121956507448886281_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=a27e22&_nc_ohc=5_c_QSGh3BAAX8D2yoZ&_nc_ht=scontent-sea1-1.xx&oh=00_AfB3rwYno1mEqZlshTZ_89GyJT33FdSdX02cRaSE4nYD8w&oe=65EBE0DE,44219,PT,pt
63690,100028371897348,PressNET,Pressnet2018,https://www.facebook.com/546374069071025,"Site de noticias da zona Norte de Portugal.

Esta página contem as informações e noticias mais ú",TOPIC_NEWSPAPER,0,2018-03-12 22:25:03,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/297087290_742409063381483_6669192449044095667_n.png?stp=cp0_dst-png_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=a27e22&_nc_ohc=_4AsLoqzrx0AX8wnmCj&_nc_ht=scontent-sea1-1.xx&oh=00_AfC3iYCf9ZXdpaP4t5qHV9g6fi9UTEKICDsreF7ryOyIzw&oe=65EB30DF,2098,PT,pt
123471,100028835756035,JORNAL DE ALBERGARIA,JornalDeAlbergaria,https://www.facebook.com/737720606616321,"Jornal quinzenário do Concelho de Albergaria-a-Velha.
Abrange os concelhos limítrofes pela quantidade",MEDIA_NEWS_COMPANY,0,2018-03-14 00:15:07,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/361089683_998162701154912_5365063957726200228_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=R35VjrakcR0AX8nPsh4&_nc_ht=scontent-sea1-1.xx&oh=00_AfBiSBLFI_yl4tigqez9Nxs8E1-igorhrszT7oatbx2t2g&oe=65EB0F28,31297,PT,pt
106631,100028842296891,FORÇA PORTUGAL,oficialforcaportugal,https://www.facebook.com/363085523794377,"Força Portugal
",MEDIA_NEWS_COMPANY,1,2013-07-26 09:21:15,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/358721063_977081333263267_6317117039833122594_n.png?stp=cp0_dst-png_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=a27e22&_nc_ohc=Br8pFa-ADmYAX9b3cl8&_nc_ht=scontent-sea1-1.xx&oh=00_AfCuee9YN-VjKPcauuFrCkaCXnAMpIHf-cyRL1NgZKJ3XA&oe=65EB5F71,38058,PT,pt
137843,100030309980987,Fama ao Minuto,famaaominuto,https://www.facebook.com/841977919232117,"Notícias de Fama da atualidade, atualizadas ao minuto.",NEWS_SITE,0,2015-06-23 14:57:05,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/302175011_783970119289980_9201111672893958551_n.png?stp=cp0_dst-png_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=D298XMURCi8AX_GiSzh&_nc_ht=scontent-sea1-1.xx&oh=00_AfChaUTNh9FK9PLhJFLYr19fvK2HBegTk_H8gmsLAJkO0Q&oe=65EC278B,34225,PT,pt
146308,100033487635433,Jornal Verdadeiro Olhar,jornalverdadeiroolhar,https://www.facebook.com/138666409500402,"Jornal regional de Lousada, Paços de Ferreira, Paredes, Penafiel e Valongo",TOPIC_NEWSPAPER,0,2010-07-30 15:10:56,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/294503849_773884570404457_8710671724242578253_n.jpg?stp=c0.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=RUD55Gj0LbYAX9K5qMs&_nc_ht=scontent-sea1-1.xx&oh=00_AfBA070Qd9xxqEzQ7qERDQCpLOgHH3XJkrAiUHav0SolDw&oe=65EBE281,34736,PT,pt
6084,100034427935570,Tarde Desportiva,tardedesportiva.pt,https://www.facebook.com/385618264900897,Tarde Desportiva - O maior estádio do país,MEDIA_NEWS_COMPANY,0,2013-09-18 16:44:54,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/213468162_463915914766002_1349063792910356701_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=ktH6Wepa0vAAX_PLrKN&_nc_ht=scontent-sea1-1.xx&oh=00_AfDZrj8QPJAotR-NJ3jnyJjBfGGB6v-PuG81QLZrdU5PVw&oe=65EA1320,33611,PT,pt
45224,100036847311180,Liga Amadora TV,LigaAmadoraTV,https://www.facebook.com/401708403266304,Jornal Desportivo Online,MEDIA_NEWS_COMPANY,0,2013-08-02 16:55:29,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/272037134_4382065785230526_2345278383436088762_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=tIOmTUg_HXUAX8S3EF4&_nc_ht=scontent-sea1-1.xx&oh=00_AfAPNZP_ucOoxBWD5_ADBuAFjiy5BHOUCZQ8i-QdRg0THw&oe=65EBB4EF,23380,PT,pt
120323,100037234850321,Diário de Aveiro,diarioaveiro,https://www.facebook.com/321951021174813,"Site: http://www.diarioaveiro.pt
Instagram: http://instagram.com/diarioaveiro
",MEDIA_NEWS_COMPANY,0,2012-02-08 14:50:08,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/311443417_805605054023982_6052328170641669814_n.png?stp=cp0_dst-png_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=a27e22&_nc_ohc=zrkU406dp0AAX8hzWPm&_nc_ht=scontent-sea1-1.xx&oh=00_AfD7kka64c_-2eLFo2X0VrqwwzWTKyCiD2z5crzd0zcWUw&oe=65EAA58A,69171,PT,pt
8346,100040057191434,Jornal Boa Nova,,https://www.facebook.com/1541697552767462,"O Jornal Boa Nova é um periódico de expansão inter-regionalista de inspiração cristã, cuja publicação é bimensal: segundas e últimas quintas-feiras do mês.",MEDIA_NEWS_COMPANY,0,2015-02-10 12:41:18,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/429776186_1136920520986510_2774114467474433647_n.jpg?stp=c0.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=a27e22&_nc_ohc=7tiYP6MEpa4AX9B34zA&_nc_ht=scontent-sea1-1.xx&oh=00_AfAjgUlBUEcVYnKTxhXyuy5Xb9bLyKVzQyPr-wFhF2_7pQ&oe=65EAC766,9071,PT,pt
147561,100040504196295,Expressodefafe,expressodefafe,https://www.facebook.com/1718734705031627,Notícias da Região de Fafe.,MEDIA_NEWS_COMPANY,0,2016-01-02 17:23:31,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/301798609_735042104522589_5732767744059349293_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=a27e22&_nc_ohc=0xuh6fnTo0QAX-gYecC&_nc_ht=scontent-sea1-1.xx&oh=00_AfC4BdiocUlrLjPhwj6Pw5YXh4XNvT4pZ_YcIiQDn90pZg&oe=65EB8B6F,13771,PT,und
30431,100041166143318,Jornal de Portugal,JnPortugalOficial,https://www.facebook.com/803354936445791,Portugal somos todos nós. Portugal é cada um de nós. Portugal sou eu | Portugal és tu!,TOPIC_NEWSPAPER,0,2015-05-26 19:55:29,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/308990661_770470111001853_8469201690462453459_n.png?stp=cp0_dst-png_p50x50&_nc_cat=110&ccb=1-7&_nc_sid=a27e22&_nc_ohc=AxLGCE3Kf8EAX-XWTkj&_nc_ht=scontent-sea1-1.xx&oh=00_AfB18TGYiJc-2i5rZhzND7cANods-reNGvnvPoUF9vxP2g&oe=65EB756D,72274,PT,pt
