,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
2927,100023338395673,Maskinkanalen,maskinkanalen,https://www.facebook.com/337659273678302,"Maskinkanalen riktar sig till personal, entreprenörer och leverantörer av maskiner och utrustning till anläggningsbranscherna samt jord- och skogsbruk.
",MEDIA_NEWS_COMPANY,0,2018-10-30 20:53:45,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/286005448_992219254899345_439568316883625455_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=KFjjv-d9WLsAX8JlKMF&_nc_ht=scontent-sea1-1.xx&oh=00_AfCXE-t-CQUc9__rIMWPE23b1dA4P3bpJsDws5efvwJJNQ&oe=65EE937D,64532,SE,sv
6127,100026562735222,Smålandsposten,smalandsposten,https://www.facebook.com/29105978254,"Kronobergs största dagstidning. Hos oss läser du det senaste och det mest intressanta. 

Tipsa oss gärna, antingen här eller på 0470-770607
",TOPIC_NEWSPAPER,1,2008-08-11 14:56:06,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/241765320_10159859134428255_7359642353549290682_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lBJwgitwRp0AX_ccAYI&_nc_ht=scontent-sea1-1.xx&oh=00_AfBlSila3adAHulJu5odpwMyDxvBYt4HMoxA20kpH1yTtA&oe=65ED44D5,25489,SE,sv
628,100034368926468,Dagens Juridik,dagensjuridik,https://www.facebook.com/129234320439881,Sveriges Juridiska Dagstidning www.dagensjuridik.se,NEWS_SITE,0,2010-06-11 14:03:22,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/305773318_750285006127123_8680814224049267906_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=vA2CnniuIjsAX_oFpuo&_nc_ht=scontent-sea1-1.xx&oh=00_AfA77OxColyR4u_TVzrkKcYdOOTodg---N0DYRD8UFHe-w&oe=65EE5F35,17132,SE,und
1026,100037636223384,P4 Stockholm Sveriges Radio,p4stockholm,https://www.facebook.com/302044469838727,"Vi ger dig nyheter, väder, trafik, musik och underhållning.
Lyssna på P4 Stockholm, 103,3. ",BROADCASTING_MEDIA_PRODUCTION,1,2012-01-02 18:12:29,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/351481453_644812573801004_2619986229183203876_n.png?stp=cp0_dst-png_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=203Woff_dwIAX_ogKqF&_nc_ht=scontent-sea1-1.xx&oh=00_AfA6MBeOndeLrmH0m6ApOLY2xOhx_sMtLyaSTtYLyTwr6g&oe=65EE0E80,35844,SE,und
3200,100037915785837,Norrländska Socialdemokraten,nsd.se,https://www.facebook.com/275956041421,Tipsa oss! tips@nsd.se,NEWS_SITE,1,2010-01-11 12:52:52,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/360143781_1005775550696295_4798494320995055163_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=-uGCNU5Z4okAX-42eoF&_nc_ht=scontent-sea1-1.xx&oh=00_AfBRLlKiQYwas0V2Qpd6MNi8laO89R0TTkeHfx-mTUPkhg&oe=65EE1143,24866,SE,sv
1040,100038286230324,LindeNytt,lindenytt,https://www.facebook.com/409731005757702,Senaste Nytt från Lindesberg,MEDIA_NEWS_COMPANY,0,2012-09-06 12:39:13,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/308689584_769908554295345_6278109314118864351_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=GLaZ5TVJAaAAX8jWWmo&_nc_ht=scontent-sea1-1.xx&oh=00_AfCxkl59F1COApxTlrcQdac5PFWZXXI9IavzQZTNS5aVQA&oe=65EDD374,4593,SE,und
369,100039384648443,Ny Teknik,nyteknik,https://www.facebook.com/132777283539772,"Ny Teknik är för dig som vill följa teknikutvecklingen inom energi, fordon, digitalisering och tech, och vill ha koll på unga innovativa teknikbolag. Varje år utser Ny Teknik 33-listan, där Sveriges 33 bästa och mest lovande teknikstartups samlas.",MEDIA_NEWS_COMPANY,1,2012-11-13 19:01:34,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/258397217_2149160968568050_6612104169715506368_n.png?stp=cp0_dst-png_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=eGNJM5ujcjwAX8iRI2w&_nc_ht=scontent-sea1-1.xx&oh=00_AfCgGrG3i70jREqXJmuTRDFgnUWJ6xBStNDrMz8Z_ojCXg&oe=65EE80CF,50107,SE,sv
2375,100039811968546,Västerviks-Tidningen,vastervikstidningen,https://www.facebook.com/104902908007,Kommentarer som skrivs här på vår Facebooksida kan komma att publiceras eller visas utan ersättning.,TOPIC_NEWSPAPER,1,2009-07-30 12:55:27,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/309038421_824762898860768_9112722126752204590_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=sVp7YbOYz1sAX-Ic35u&_nc_ht=scontent-sea1-1.xx&oh=00_AfBLn_ZQNo_KRa1yVfcWvCIY_n6IUxjJt8YksySbgbWxMw&oe=65EE4670,11408,SE,sv
276,100039896666581,P4 Extra,P4extra,https://www.facebook.com/299358359881,"Vi ger dig en mix av de hetaste personerna och nyheterna.
Lyssna på oss i Sveriges Radio P4 måndag–söndag 13.03-15.00.
Webb: sverigesradio.se/p4extra/
Instagram: p4extra",BROADCASTING_MEDIA_PRODUCTION,1,2010-01-29 13:03:02,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/347567696_2490645711098343_9174800050185101246_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yD80C10OUf0AX846AlC&_nc_ht=scontent-sea1-1.xx&oh=00_AfAFBeYlG8C8gwrh3pq0snAYPnp2RpMHSPqX3k3vNKH8pg&oe=65ED19F4,77438,SE,sv
1060,100039993645898,PPPRESS.SE,pppress.se,https://www.facebook.com/188624201212718,www.pppress.se,MEDIA_NEWS_COMPANY,0,2011-10-12 17:58:11,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/308160222_785579512785163_3828123257629970177_n.jpg?stp=c24.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=4TJxLZuuymwAX9uwGuj&_nc_ht=scontent-sea1-1.xx&oh=00_AfAAy-YZK2aHXxb_Hn2AkvsoexnQ0_rMp8hDqSkuvNoN_Q&oe=65ED3F45,12630,SE,und
