,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
75802,100028543044849,NZZ am Sonntag,NZZamSonntag,https://www.facebook.com/605109706269803,"Seit 2002 erscheint die «NZZ am Sonntag»: Nachrichten, Wirtschaft, Hintergrund, Sport, Kultur, Wissen, Gesellschaft und Stil – in hoher Qualität.",MEDIA_NEWS_COMPANY,1,2014-07-03 08:00:39,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/353668019_966983894263036_2778064936009658605_n.png?stp=cp0_dst-png_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=a27e22&_nc_ohc=Bs7Bnw_pZSQAX__PFuC&_nc_oc=AQlEwDFMk2a5r-V7r2fVF3aqPz1B-nW3uQdWbDJNuDbFrOF0WuTfWs18J4oZI2NtCuw&_nc_ht=scontent-sea1-1.xx&oh=00_AfB5LuXt6q31vNdpIJgIu08uFhQrOES5ner5qVIh1EmGVg&oe=65C5E999,9515,CH,de
92210,100028578266242,Ticinonline,ticinonline.ch,https://www.facebook.com/264496326937269,"Ticinonline - Notizie, Eventi, Annunci, Biglietteria, Blog, e molto altro ancora.",NEWS_SITE,1,2011-12-23 13:45:10,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/291096592_5191239957596190_2808427779807216657_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=9ZZMFWvB1C0AX8GnVlR&_nc_ht=scontent-sea1-1.xx&oh=00_AfAxwv-OTSLZDTQ8sx6ARvpQ7iEhqDtg-ByU37LNY93qlw&oe=65C65F27,103053,CH,it
33300,100039501590099,Le Courrier,quotidienlecourrier,https://www.facebook.com/146891072053583,Quotidien indépendant et engagé ✊,TOPIC_NEWSPAPER,0,2011-07-13 16:05:40,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/402383739_1077665456893497_8235938996745114840_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=a27e22&_nc_ohc=0qrw_KR8iO4AX_ReiwO&_nc_ht=scontent-sea1-1.xx&oh=00_AfAGGSIZx28S1nRGQil2OlEtG0sp8bjVLkfgVJSzmSd5uw&oe=65BF673C,16349,CH,fr
225279,100040158442247,AGEFI Suisse,ageficom,https://www.facebook.com/412560358817737,"L'Agefi, le média suisse qui couvre l’actualité économique et financière

La Nouvelle Agence Économique et Financière SA

http://www.agefi.com


",TOPIC_NEWSPAPER,0,2012-12-06 10:00:14,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/347627620_141287498940590_6943872341851108195_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=a27e22&_nc_ohc=UdC1W1G5mGkAX97q6y8&_nc_ht=scontent-sea1-1.xx&oh=00_AfA8O5mgmT3jmlaTGeuvtJvPwRM4eHDMMrZ9JSKUr7pTwQ&oe=65C745EF,4693,CH,fr
14471,100040925542771,Radio Chablais,radiochablais,https://www.facebook.com/158597064158692,"Humour, info, nouveautés, bons plans, jeux, etc.

Radio Chablais vous accompagne chaque jour de 6h ",BROADCASTING_MEDIA_PRODUCTION,0,2010-09-28 11:05:18,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/309197127_775068857200625_5623575406654888575_n.png?stp=cp0_dst-png_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=a27e22&_nc_ohc=8wPgj5DURKYAX-Fjcfq&_nc_ht=scontent-sea1-1.xx&oh=00_AfCnCJJMbBgmqureHB8sxqmOFrbMUGFfdCdlO_AMlfCmvA&oe=65C0864A,20405,CH,fr
3453,100041817648027,Stopblablacam,StopBlaBlaCam,https://www.facebook.com/327853160887584,"StopBlaBlaCam couvre au quotidien l'actualité économique et sociale du Cameroun, vérifie les rumeurs ",MEDIA_NEWS_COMPANY,0,2016-08-30 09:11:42,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/352726213_587487033470503_8515082730402454629_n.png?stp=cp0_dst-png_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=a27e22&_nc_ohc=ys3lOs94xukAX8hAX9t&_nc_ht=scontent-sea1-1.xx&oh=00_AfBMM5fwcgxmaK9Vg6IXTtn2M1gYE2Lba8ONK-n08zWSIg&oe=65BEE6DD,102834,CH,fr
68315,100044069064364,RTN.CH,RTN.CH,https://www.facebook.com/110792602343067,"La radio neuchâteloise RTN couvre le canton de Neuchâtel, le Nord vaudois, la Broye et les Franches",NEWS_SITE,0,2011-05-19 03:58:08,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/309390802_636722247806738_903489082453829679_n.png?stp=cp0_dst-png_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=a27e22&_nc_ohc=qSsDWU4b0e4AX9AfeDJ&_nc_oc=AQl37EeMZ8r4jfMFzYjC_pKHBE1Ts_XpMtLDoBwcCNikTce-GOVIJ2RKY1buUgBQ0Gs&_nc_ht=scontent-sea1-1.xx&oh=00_AfANTR60Na8zVkWYIr10Rtjmd38ZWFOXOMRcXQnKo6ZWJA&oe=65C684C0,25124,CH,fr
92203,100044273387611,Radio Central,radiocentral.ch,https://www.facebook.com/319983905557,Radio Central - das Radio mit Herz und dem breitesten Musik-Mix!,BROADCASTING_MEDIA_PRODUCTION,0,2010-01-31 13:45:49,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/273701354_490880982397677_1977762603380775092_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=a27e22&_nc_ohc=ylKZAsweyHYAX8uQZ3H&_nc_ht=scontent-sea1-1.xx&oh=00_AfBJMkxM5Pw5ij5lHy43Yb5syK8beAQpUfRfMbktirUJkQ&oe=65C63535,29035,CH,de
40123,100044356242979,RFJ.CH,RFJ.CH,https://www.facebook.com/174202395967824,RFJ est la radio qui propose toute l’actualité du canton du Jura,MEDIA_NEWS_COMPANY,0,2011-05-19 03:55:19,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/309996146_645822250239644_2830514726444167269_n.png?stp=cp0_dst-png_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=a27e22&_nc_ohc=yJ7h1JDvAHYAX-1G2zP&_nc_ht=scontent-sea1-1.xx&oh=00_AfDmBEFxC-3Rz7f_9ygBQKdNkeM8GOyKNrBh4mqD-rx8CA&oe=65BFCC96,18835,CH,fr
68092,100045092175427,Berner Zeitung,bernerzeitung.ch,https://www.facebook.com/69474637264,Die Berner Zeitung ist die drittgrösste abonnierte Tageszeitung der Schweiz und die grösste im Kanton Bern. Die Kernkompetenz der Regionalzeitung ist die ausführliche Berichterstattung aus der Region und über Sportereignisse.,TOPIC_NEWSPAPER,1,2009-01-15 10:29:53,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/352374377_860483128798085_7024478559733593449_n.png?stp=cp0_dst-png_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=a27e22&_nc_ohc=wdo39bwDrbwAX939L7j&_nc_oc=AQlZ4mOOsdIq2tBKo5WVO3zZ_rwTWWe292wNq4WYIE_owfJCINkrCJGIKYPjK7dY6rw&_nc_ht=scontent-sea1-1.xx&oh=00_AfCzssp8AKKzCFTTgVKrLSCKgmdL0kIORWpxGJKOGLHW7w&oe=65C6AFF5,19304,CH,de
