message,post_fb_url,page_name,username,page_id,page_cateogry,topadmin_country,page_description,page_created,page_likes,page_followers,created_date,created_date_edt,created_time,type,total_interaction,nb_likes,nb_comments,nb_shares,nb_love,nb_wow,nb_haha,nb_sad,nb_angry,nb_care,video_share_status,video_owner,video_post_view,video_total_view,video_total_view_crossposts,video_length,post_fb_url,,,final_link,image_text,link_text,,sponsor_id,sponsor_name,sponsor_category,Results
"The Virginia Film Office Director Andy Edmunds appeared on the Don't Be So Dramatic podcast recently and recapped his career, the benefits of shooting in Virginia, and ""If you work hard, you'll have an opportunity."" #vafilm #filmmaking",https://www.facebook.com/93334794039/posts/10158996413984040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6479.0,6922.0,2020-10-23 13:29:22 EDT,2020-10-23,13:29:22,Link,11,8,1,1,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10158996413984040,,,,,Andy Edmunds on The Virginia Film Office And The Tourism Benefits Of Filmmaking,,,,,0
"Our Fall Membership Drive launches today! New members may sign up to join the VPA for only $35, spread the word! https://virginiaproductionalliance.org/event-4037527",https://www.facebook.com/93334794039/posts/10159010998159040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6477.0,6920.0,2020-10-29 07:56:24 EDT,2020-10-29,07:56:24,Photo,11,8,0,3,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10159010998159040,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fvirginiaproduction%2Fphotos%2Fa.10150431285284040%2F10159010998034040%2F%3Ftype%3D3,,,,,,,
"Raised primarily in Grundy, Virginia, and an alumnus of Radford University, Mays is an American actress best known for playing Emma Pillsbury on the hit musical comedy-drama series Glee (2009-2015) and Charlie Andrews on the NBC superhero drama series Heroes (2006-2010). She is also known for her starring roles in Wes Craven’s psychological thriller film Red Eye (2005), Paul Blart: Mall Cop (2009), and The Smurfs (2011). For Glee, Mays won a Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Comedy Series in 2010. #VPA #VFO #JaymaMays #Glee #Heroes #ScreenActorsGuild",https://www.facebook.com/93334794039/posts/10160212713444040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6604.0,7171.0,2022-06-09 09:35:04 EDT,2022-06-09,09:35:04,Photo,20,16,2,0,2,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10160212713444040,,,,,Timeline photos,,,,,
"Check out this great event with Ken Kwapis (""The Office"") from ODU Filmmakers on Friday, November 6th at 12-1:30PM",https://www.facebook.com/93334794039/posts/10159005946739040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6477.0,6920.0,2020-10-27 08:39:32 EDT,2020-10-27,08:39:32,Photo,14,11,0,3,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10159005946739040,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fvirginiaproduction%2Fphotos%2Fa.10150431285284040%2F10159005939304040%2F%3Ftype%3D3,,,,,,,
Check out our upcoming event featuring David Powers. He will be joining us to chat about how he approaches his projects. Click here to register: https://virginiaproductionalliance.org/event-4018275,https://www.facebook.com/93334794039/posts/10158976611004040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6476.0,6914.0,2020-10-15 12:44:51 EDT,2020-10-15,12:44:51,Photo,16,8,0,8,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10158976611004040,,,,,,,,,,
"Our next event in NoVa is coming up tonight! Join us for an evening of creative fun and networking, you won't want to miss it! Register at: https://bit.ly/3tASXm1:=:https://www.virginiaproductionalliance.org/event-4863874",https://www.facebook.com/93334794039/posts/10160236011299040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6617.0,7193.0,2022-06-23 08:42:58 EDT,2022-06-23,08:42:58,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10160236011299040,,,,"JUNE 23, 2022 6:30 PM NETW ORKING WITH NOVA DISTRICT Thundershot Studios 9425 Mathy Dr, Fairfax, VA 22031",Timeline photos,,,,,
,https://www.facebook.com/93334794039/posts/10158951428899040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6475.0,6912.0,2020-10-12 09:00:37 EDT,2020-10-12,09:00:37,Photo,7,5,0,0,2,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10158951428899040,,,,,,,,,,
Don’t forget to set your DVR’s so you don’t miss either show!,https://www.facebook.com/93334794039/posts/10158946933769040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6472.0,6906.0,2020-10-03 22:10:04 EDT,2020-10-03,22:10:04,Photo,23,17,0,0,6,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10158946933769040,,,,,The Virginia Film Office,,,,,
Now is the time to join the VPA and enjoy a new member discount! We invite you to join the ranks of the film industry professionals in Virginia. Your support is crucial as we advocate bringing and keeping film projects in the state! Sign up here: https://www.virginiaproductionalliance.org/event-4790790 #VPA #Virginia #Membership #JoinUs,https://www.facebook.com/93334794039/posts/10160226507164040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6611.0,7184.0,2022-06-17 14:06:51 EDT,2022-06-17,14:06:51,Photo,6,6,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10160226507164040,,,,VIRGINIA PRODUCTION ALLIANCE 2022 Membership Drive Join now and save! New Member Discount at $35 Limited Availability VIRGINIAPRODUCTIONALLIANCE.ORG VIRGINIA IS FOR FILM LO ERS®,Timeline photos,,,,,
The Virginia Film Festival blends virtual screenings and talks with drive-in movies: https://dailyprogress.com/entertainment/movies/virginia-film-festival-blends-virtual-screenings-and-talks-with-drive-in-movies/article_76218d5b-7e1a-5f94-bb38-76bb5b0bf40c.html,https://www.facebook.com/93334794039/posts/10158955615239040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6475.0,6911.0,2020-10-07 08:28:53 EDT,2020-10-07,08:28:53,Photo,4,4,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10158955615239040,,,,,,,,,,
