message,post_fb_url,page_name,username,page_id,page_cateogry,topadmin_country,page_description,page_created,page_likes,page_followers,created_date,created_date_edt,created_time,type,total_interaction,nb_likes,nb_comments,nb_shares,nb_love,nb_wow,nb_haha,nb_sad,nb_angry,nb_care,video_share_status,video_owner,video_post_view,video_total_view,video_total_view_crossposts,video_length,,,link,final_link,image_text,link_text,description,Results
,https://www.facebook.com/200134104213919/posts/2820914121525772,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,2618.0,3501.0,2020-10-25 17:26:15 EDT,2020-10-25,17:26:15,Live Video Complete,33,17,1,8,0,0,0,7,0,0,owned,Yes,666,1095,0,00:01:10,,,https://www.facebook.com/ErnieFullerFire/videos/2820914121525772/,,,,,0
Rector Creek,https://www.facebook.com/200134104213919/posts/657177595176232,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,2490.0,3334.0,2020-10-01 00:39:05 EDT,2020-10-01,00:39:05,Native Video,30,6,3,9,2,0,0,7,0,3,owned,Yes,599,1214,0,00:00:30,,,https://www.facebook.com/ErnieFullerFire/videos/2744284802519706/,,,,,
"Bender Road in Igo, ca. Zogg Fire",https://www.facebook.com/200134104213919/posts/658694965024495,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,2520.0,3373.0,2020-10-03 01:03:10 EDT,2020-10-03,01:03:10,Native Video,31,2,4,8,0,0,0,15,0,2,owned,Yes,720,1585,0,00:02:55,,,https://www.facebook.com/ErnieFullerFire/videos/670528570274307/,,,,,
1/2 acre vegetation fire off almond and shasta,https://www.facebook.com/200134104213919/posts/681812682712723,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,2789.0,3867.0,2020-10-31 18:19:13 EDT,2020-10-31,18:19:13,Status,15,8,3,0,0,1,0,3,0,0,,-,0,0,0,,,,,,,,,
Let's see if we can help,https://www.facebook.com/200134104213919/posts/666128184281173,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,2594.0,3462.0,2020-10-12 20:28:00 EDT,2020-10-12,20:28:00,Native Video,18,4,3,5,0,1,0,1,4,0,owned,Yes,524,661,0,00:01:23,,,https://www.facebook.com/ErnieFullerFire/videos/713623552565335/,,,,,
Sounds like they got it Update per IC asking for traffic control Update per IC 10x30 spot Reports of a vegetation fire south bonnyview and I-5,https://www.facebook.com/200134104213919/posts/1055088655385122,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,7159.0,10117.0,2022-06-21 12:49:05 EDT,2022-06-21,12:49:05,Status,78,47,7,2,0,11,0,9,1,1,,-,0,0,0,,,,,,,,,
The fire is contained,https://www.facebook.com/200134104213919/posts/256734339103058,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,2596.0,3463.0,2020-10-16 09:49:05 EDT,2020-10-16,09:49:05,Live Video Complete,130,19,59,34,2,5,0,9,2,0,owned,Yes,1235,3443,0,00:08:25,,,https://www.facebook.com/ErnieFullerFire/videos/256734339103058/,,,,,
"This is at the end of Archer Rd in Igo, Ca. Zogg Fire",https://www.facebook.com/200134104213919/posts/658680778359247,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,2520.0,3373.0,2020-10-03 00:35:08 EDT,2020-10-03,00:35:08,Photo,104,5,24,21,0,0,0,54,0,0,,-,0,0,0,,,,,,,,,
The vegetation fire in Millville is contained to an Acre Off of all 44,https://www.facebook.com/200134104213919/posts/1054522198775101,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,7158.0,10117.0,2022-06-20 15:31:56 EDT,2022-06-20,15:31:56,Status,119,114,2,1,0,1,0,0,0,1,,-,0,0,0,,,,,,,,,
"Off of Archer Rd in Igo, Ca. Zogg Fire",https://www.facebook.com/200134104213919/posts/658681225025869,Ernie Fuller Fire Information,ErnieFullerFire,200134104213919,NEWS_SITE,US,live feed and photos of local city and wildland fires,2018-11-12 09:31:46,2520.0,3373.0,2020-10-03 00:36:08 EDT,2020-10-03,00:36:08,Native Video,19,1,10,3,0,0,0,4,0,1,owned,Yes,430,557,0,00:00:58,,,https://www.facebook.com/ErnieFullerFire/videos/329044731684761/,,,,,
