,page_name,username,page_id,page_cateogry,topadmin_country,page_description,page_created,page_likes,page_followers,created_date,created_date_edt,created_time,type,total_interaction,nb_likes,nb_comments,nb_shares,nb_love,nb_wow,nb_haha,nb_sad,nb_angry,nb_care,video_share_status,video_owner,video_post_view,video_total_view,video_total_view_crossposts,video_length,post_fb_url,message,link,final_link,image_text,link_text,description,sponsor_id,sponsor_name,sponsor_category,score,post_id,week,month
27,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,31783.0,35368.0,2022-06-01 08:58:44 EDT,2022-06-01,08:58:44,Link,47,13,8,8,0,15,0,3,0,0,,-,0,0,0,,https://www.facebook.com/100044602831806/posts/560029388827151,Do you use #GroceryPickup? Or any store pick-up service really. This is happening all over the country. See the woman Harris County Precinct 5 Deputy Constables arrested when she showed up to pick up $247 worth of groceries using someone else's credit card and account. Investigators say this is a sophisticated #crimering. Kroger Costco Walmart #kprc2investigates KPRC2 / Click2Houston,https://www.click2houston.com/news/investigates/2022/06/01/kprc-2-investigates-grocery-pickup-accounts-hacked/,,,KPRC 2 Investigates: Grocery pickup accounts hacked,Ordering products and groceries online and picking them up at the store has become extremely popular since the start of the pandemic. But it’s not just busy families using the service. KPRC 2 Investigates has discovered thieves taking advantage too. We are looking into what you need to know to mak...,,,,-2.17,,,
1071,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,24975.0,27290.0,2020-10-19 06:38:05 EDT,2020-10-19,06:38:05,Photo,790,571,57,10,81,2,65,1,0,3,,-,0,0,0,,https://www.facebook.com/119073521455653/posts/4066932783336354,Backpacks & lunches are packed & at the ready! Houston Independent School District parents- are you ready for your students to go back to school in person? I think I remembered everything. I'm sure they'll tell me if I didn't. They are already refusing to wear the mask lanyards I bought (so their masks won't fall on the ground when they take them on and off). They say they look like something an old lady would wear 😆😅😆,https://www.facebook.com/119073521455653/photos/a.871926606170337/4066932620003037/?type=3,,,Photos from KPRC2 Amy Davis's post,,,,,1.09,,,
11,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,31845.0,35435.0,2022-06-14 18:01:26 EDT,2022-06-14,18:01:26,Status,2314,462,212,6,23,17,1582,1,0,11,,-,0,0,0,,https://www.facebook.com/100044602831806/posts/568503871313036,Piper: Can we go get Starbucks? Me: No. We’re not leaving the house to go buy Starbucks. Piper: You’re killing me. (She’s 8! 😳),,,,,,,,,15.53,,,
3,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,31846.0,35440.0,2022-06-21 09:24:57 EDT,2022-06-21,09:24:57,Status,1872,426,212,6,15,2,1207,0,0,4,,-,0,0,0,,https://www.facebook.com/100044602831806/posts/572781734218583,The Today Show is on in our make-up room. Kim Kardashian just said “I am at peace with aging.” 😂😁😂 Sorry. That just gave me a chuckle.,,,,,,,,,12.65,,,
2,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,31858.0,35451.0,2022-06-22 12:17:54 EDT,2022-06-22,12:17:54,Live Video Complete,760,427,144,67,113,4,1,0,0,4,owned,Yes,7466,8265,0,00:07:56,https://www.facebook.com/100044602831806/posts/780143523144807,Haven’t been here in awhile. It’s interesting to see how liquidation stores are operating with the rising cost of everything. #inflation,https://www.facebook.com/AmyDavisKPRC/videos/780143523144807/,,,,,,,,1.9,,,
1056,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,24996.0,27322.0,2020-10-26 12:41:56 EDT,2020-10-26,12:41:56,Photo,739,613,67,17,37,2,1,0,0,2,,-,0,0,0,,https://www.facebook.com/119073521455653/posts/4087907011238931,Wooo-weee! That's a lot of groceries! We ordered the same 14 items from 6 different stores & delivery services to find out which is least expensive and most accurate. Shipt Instacart Favor Delivery H-E-B Kroger Walmart #Dumpling Thanks to DeBra for helping us with this test. The story is coming soon on KPRC2 / Click2Houston. I'll keep you posted so you don't miss it. #grocerydelivery,https://www.facebook.com/119073521455653/photos/a.871926606170337/4087906971238935/?type=3,,,,,,,,1.02,,,
1062,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,24983.0,27304.0,2020-10-22 10:05:55 EDT,2020-10-22,10:05:55,Photo,1458,866,394,35,104,25,30,0,1,3,,-,0,0,0,,https://www.facebook.com/119073521455653/posts/4075909935771972,"How to avoid the dreaded mask suck... you know, when it looks like you are eating your mask when you try to breathe or talk. I also like that it protects my lipstick and keeps it from getting all over the inside of my mask. Thinking about doing a story because I hear some of these are better & more comfortable than others. Have you tried any of these thing-a-ma-bobbers?",https://www.facebook.com/119073521455653/photos/a.871926606170337/4075909649105334/?type=3,,,Photos from KPRC2 Amy Davis's post,,,,,2.02,,,
1107,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,24692.0,26920.0,2020-10-02 09:47:14 EDT,2020-10-02,09:47:14,Status,38,21,1,10,3,3,0,0,0,0,,-,0,0,0,,https://www.facebook.com/119073521455653/posts/4013775868652046,"If you're into high end handbags... you'll be into this... And you can log in and preview all of the items in the auction now. The auction goes live tomorrow (Saturday) at 10am. Gallery Auctions, Inc. #prada #louisvuitton #gucci #chanel #Dior #Hermes #fendi KPRC2 / Click2Houston https://www.click2houston.com/news/local/2020/02/06/heres-where-you-can-get-luxury-handbags-and-more-without-paying-luxury-price/",,,,,,,,,-3.68,,,
1111,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,24670.0,26889.0,2020-10-01 07:20:13 EDT,2020-10-01,07:20:13,Link,89,27,5,18,0,14,0,1,24,0,,-,0,0,0,,https://www.facebook.com/119073521455653/posts/4009883599041273,"On the heels of my mail test project that aired earlier this week, this story from KPRC2 Phil Archer is interesting. #Mail US Postal Service",https://www.click2houston.com/news/local/2020/10/01/prosecutor-says-caseload-for-mail-theft-on-the-rise-in-harris-county/?utm_source=facebook&utm_medium=social&utm_campaign=snd&utm_content=kprc2,,,Prosecutor says caseload for mail theft on the rise in Harris County,"At a time when the pandemic has more and more Houstonians depending on the mail for everything from daily shopping to casting a vote, police and prosecutors say they’re seeing a surge in mail thefts and robberies.",,,,-1.31,,,
1055,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,24996.0,27322.0,2020-10-26 19:46:30 EDT,2020-10-26,19:46:30,Native Video,2087,1278,142,10,283,6,355,0,0,13,owned,Yes,7925,8001,0,00:00:05,https://www.facebook.com/119073521455653/posts/4088738034489162,"Don't anybody ""unlike"" my page now. We're having a party in the kitchen celebrating 25k likes on this page! Thank you so much!! KPRC2 / Click2Houston",https://www.facebook.com/AmyDavisKPRC/videos/902607380564202/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FAmyDavisKPRC%2Fvideos%2F902607380564202%2F,,,,,,,9.23,,,
1050,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,25025.0,27355.0,2020-10-28 15:37:18 EDT,2020-10-28,15:37:18,Photo,187,141,26,3,15,2,0,0,0,0,,-,0,0,0,,https://www.facebook.com/119073521455653/posts/4094187010610931,Clue #1: Prepping for our big #Halloween reveal on KPRC2 / Click2Houston this Friday morning. You're gonna LOVE it all! #We❤Mornings! #We🧡Halloween KPRC2 Britta Merwin KPRC2 Owen Conflenti KPRC2 Lisa Hernandez KPRC2 Anavid Reyes More clues coming up tomorrow morning. Any guesses?,https://www.facebook.com/119073521455653/photos/a.871926606170337/4094186797277619/?type=3,,,Photos from KPRC2 Amy Davis's post,,,,,-3.86,,,
1091,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,24847.0,27121.0,2020-10-09 08:29:02 EDT,2020-10-09,08:29:02,Photo,418,336,23,6,45,4,1,0,0,3,,-,0,0,0,,https://www.facebook.com/119073521455653/posts/4037229736306659,It's Friday... and an awesome viewer sent me this #coffee! Thank you Veronica! You get me ☕ #Chickory #CupofAmbition #FindReasonstoSmile #WhatsInYourCup Why are you smiling today?,https://www.facebook.com/119073521455653/photos/a.871926606170337/4037229422973357/?type=3,,,Photos from KPRC2 Amy Davis's post,,,,,-1.73,,,
1095,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,24822.0,27084.0,2020-10-07 09:24:06 EDT,2020-10-07,09:24:06,Link,335,148,46,115,18,6,0,0,0,2,,-,0,0,0,,https://www.facebook.com/119073521455653/posts/4030413173654982,Where to get #Free LEGOs this week! #Houston KPRC2 / Click2Houston,https://www.click2houston.com/news/local/2020/10/07/here-is-where-you-can-find-the-lego-truck-and-get-free-legos-this-week/,,,Here is where you can find the Lego truck and get free Legos this week,"A brand Lego store is opening in Willowbrook Mall. To help spread the word, the Lego truck is trolling around Houston giving away free Lego mini build kits.",,,,2.86,,,
22,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,31800.0,35385.0,2022-06-03 14:23:14 EDT,2022-06-03,14:23:14,Photo,2179,1448,197,6,501,8,0,0,0,19,,-,0,0,0,,https://www.facebook.com/100044602831806/posts/561441388685951,Another school year ALMOST complete! But I had to brag on my babies! Jack finished elementary school with perfect attendance from PreK through 5th grade. He’s on to middle school! Piper & Tommy are headed to 3rd & 1st. But not so fast! We need that #summerbreak! Show me your graduates!,https://www.facebook.com/photo.php?fbid=561439615352795&set=a.253413676155392&type=3,,,Photos from KPRC2 Amy Davis's post,,,,,3.15,,,
1060,KPRC2 Amy Davis,AmyDavisKPRC,100044602831806,NEWS_PERSONALITY,US,Emmy-award winning investigative reporter Amy Davis is passionate about helping people.,2010-05-06 21:56:26,24996.0,27314.0,2020-10-23 04:30:40 EDT,2020-10-23,04:30:40,Photo,568,315,41,3,18,4,187,0,0,0,,-,0,0,0,,https://www.facebook.com/119073521455653/posts/4078147988881500,"Winner, winner... chicken dinner! I just found an #EasterEgg! AND it's Friday! Must mean it's gonna be my #lucky day 😁 #LongLostEgg #OhYeahWeHuntedEggsInsideThisYear!",https://www.facebook.com/119073521455653/photos/a.871926606170337/4078147645548201/?type=3,,,Photos from KPRC2 Amy Davis's post,,,,,-1.27,,,
